station_id,station_name
05371,Wasserkuppe
05374,Wassertrüdingen (Kläranlage)
05382,Wedemark-Elze
05395,Harth-Pöllnitz Neundorf
05397,Weiden
05401,"Weiding, Kreis Cham-Dalking"
05404,Weihenstephan-Dürnast
05405,Weihenzell-Grüb
05416,Weilmünster
05419,Weimar
05424,Weimar-Schöndorf
05426,Weinbiet
05433,Weiskirchen/Saar
05435,Weissach
05440,Weißenburg-Emetzheim
05444,Weißenhorn-Oberreichenbach
05453,Weisweil-Waldeckhof
05467,Wendelstein
05468,Wenden-Dörnscheid
05470,Fahrenzhausen
05480,Werl
05484,Ellrich-Werna
05490,Wernigerode
05501,Wertingen
